chrom	intergenic_start	intergenic_end	intergenic_distance	gene_1_ID	gene_1_name	gene_2_ID	gene_2_name	mean_phylop	prop_constraint	category	td_gene_ID	td_gene_name
chr7	170572871	170575294	2425	ENSG00000112592	TBP	ENSG00000071994	PDCD2	0	0	non_td	NA	NA
chr7	260773	227553	-33218	ENSG00000177706	FAM20C	ENSG00000249852	NA	0	0	non_td	NA	NA
chr7	229558	290169	60613	ENSG00000249852	NA	ENSG00000248767	FOXL3	-0.181579215679797	0.0165146090772607	non_td	NA	NA
chr7	294423	497257	202836	ENSG00000248767	FOXL3	ENSG00000197461	PDGFA	-0.197044459563403	0.0132126446981798	non_td	NA	NA
chr7	520297	549196	28901	ENSG00000197461	PDGFA	ENSG00000188191	PRKAR1B	-0.191922874641018	0.021521746652365	non_td	NA	NA
chr7	727651	816614	88965	ENSG00000188191	PRKAR1B	ENSG00000164828	SUN1	-0.147465688753986	0.0143539594222447	td_neighbour	ENSG00000164828	SUN1
chr7	896436	898777	2343	ENSG00000164828	SUN1	ENSG00000240230	COX19	-0.131682031583441	0.0337174562526675	td_neighbour	ENSG00000164828	SUN1
chr7	975550	983180	7632	ENSG00000240230	COX19	ENSG00000073067	CYP2W1	-0.0939255765199164	0.020440251572327	non_td	NA	NA
chr7	989641	996985	7346	ENSG00000073067	CYP2W1	ENSG00000146540	C7orf50	-0.23104206370814	0.00108902804247209	non_td	NA	NA
chr7	1138261	1152070	13811	ENSG00000146540	C7orf50	ENSG00000178381	ZFAND2A	-0.0924563753529789	0.00506842372022301	non_td	NA	NA
chr7	1160760	1232871	72113	ENSG00000178381	ZFAND2A	ENSG00000164853	UNCX	0.169888147768087	0.0616255044166794	td_neighbour	ENSG00000164853	UNCX
chr7	1237327	1428464	191139	ENSG00000164853	UNCX	ENSG00000164877	MICALL2	0.0452012514452734	0.0598464991446016	td_bs	ENSG00000164853	UNCX
chr7	1459471	1470276	10807	ENSG00000164877	MICALL2	ENSG00000164880	INTS1	-0.138087720921625	0.0258166003516239	td_bs	ENSG00000164877	MICALL2
chr7	1504390	1542234	37846	ENSG00000164880	INTS1	ENSG00000164855	TMEM184A	-0.119387491412565	0.0322359033979813	non_td	NA	NA
chr7	1560822	1567331	6511	ENSG00000164855	TMEM184A	ENSG00000157778	PSMG3	-0.238154814928583	0.00691138074028567	non_td	NA	NA
chr7	1571006	1688118	117114	ENSG00000157778	PSMG3	ENSG00000225968	ELFN1	-0.121459381457371	0.0238485578154619	non_td	NA	NA
chr7	1747955	1815803	67850	ENSG00000225968	ELFN1	ENSG00000286192	NA	-0.123639646278555	0.00539425202652911	non_td	NA	NA
chr7	2242216	2242225	11	ENSG00000286192	NA	ENSG00000106268	NUDT1	0.565090909090909	0.181818181818182	non_td	NA	NA
chr7	2251147	2251769	624	ENSG00000106268	NUDT1	ENSG00000106266	SNX8	-0.418354166666667	0.0016025641025641	non_td	NA	NA
chr7	2354319	2403587	49270	ENSG00000106266	SNX8	ENSG00000136213	CHST12	0.0102431296935253	0.0504769636695758	td_neighbour	ENSG00000136213	CHST12
chr7	2448485	2474843	26360	ENSG00000136213	CHST12	ENSG00000275572	GRIFIN	-0.14015986342944	0.0127086494688923	td_bs	ENSG00000136213	CHST12
chr7	2476895	2512528	35635	ENSG00000275572	GRIFIN	ENSG00000106003	LFNG	-0.199738515504421	0.0359478041251578	non_td	NA	NA
chr7	2529178	2537809	8633	ENSG00000106003	LFNG	ENSG00000106009	BRAT1	-0.105909185682845	0.0193443762307425	non_td	NA	NA
chr7	2555695	2558971	3278	ENSG00000106009	BRAT1	ENSG00000106012	IQCE	-0.119942342892008	0.00549115314215985	td_bs	ENSG00000106012	IQCE
chr7	2614734	2631985	17253	ENSG00000106012	IQCE	ENSG00000136295	TTYH3	-0.127420448617631	0.0157653741378311	td_bs	ENSG00000106012	IQCE
chr7	2664803	2728104	63303	ENSG00000136295	TTYH3	ENSG00000146535	GNA12	-0.175467939908059	0.0175979021531365	td_bs	ENSG00000136295	TTYH3
chr7	2844309	2906141	61834	ENSG00000146535	GNA12	ENSG00000198286	CARD11	-0.141904858168642	0.0125659022544231	non_td	NA	NA
chr7	3043868	3301251	257385	ENSG00000198286	CARD11	ENSG00000146555	SDK1	-0.103135178817759	0.0206189171863162	non_td	NA	NA
chr7	4269001	4682294	413295	ENSG00000146555	SDK1	ENSG00000164916	FOXK1	-0.0993453513834125	0.0074184299350343	td_neighbour	ENSG00000164916	FOXK1
chr7	4771443	4775614	4173	ENSG00000164916	FOXK1	ENSG00000242802	AP5Z1	-0.293618979151689	0.0074287083632878	td_bs	ENSG00000164916	FOXK1
chr7	4794398	4797054	2658	ENSG00000242802	AP5Z1	ENSG00000157927	RADIL	-0.0381136192626033	0	non_td	NA	NA
chr7	4883717	4905988	22273	ENSG00000157927	RADIL	ENSG00000136297	MMD2	-0.150344138643203	0.00673461141292147	non_td	NA	NA
chr7	4959214	4983717	24505	ENSG00000136297	MMD2	ENSG00000272968	NA	0.0120670475413186	0.0208528871658845	non_td	NA	NA
chr7	5073222	5190195	116975	ENSG00000272968	NA	ENSG00000157954	WIPI2	-0.104428134216705	0.00850609104509511	td_neighbour	ENSG00000157954	WIPI2
chr7	5233841	5306789	72950	ENSG00000157954	WIPI2	ENSG00000182095	TNRC18	-0.131404057573688	0.0253324194653873	td_bs	ENSG00000157954	WIPI2
chr7	5425415	5431334	5921	ENSG00000182095	TNRC18	ENSG00000155034	FBXL18	0.644459044080392	0.157236953217362	non_td	NA	NA
chr7	5513810	5526408	12600	ENSG00000155034	FBXL18	ENSG00000075624	ACTB	-0.176223730158729	0.0030952380952381	non_td	NA	NA
chr7	5563903	5592815	28914	ENSG00000075624	ACTB	ENSG00000075618	FSCN1	-0.186399598810258	0.0125544718821332	non_td	NA	NA
chr7	5606656	5620046	13392	ENSG00000075618	FSCN1	ENSG00000011275	RNF216	-0.206791069295103	0.00455495818399044	non_td	NA	NA
chr7	5781697	5879826	98131	ENSG00000011275	RNF216	ENSG00000122543	OCM	-0.105564429181398	0.00823389143084245	non_td	NA	NA
chr7	5886364	5925549	39187	ENSG00000122543	OCM	ENSG00000155026	RSPH10B	0.0760336080843135	0.0398601577053615	non_td	NA	NA
chr7	5970684	5970924	242	ENSG00000155026	RSPH10B	ENSG00000122512	PMS2	0.0602355371900827	0.0785123966942149	non_td	NA	NA
chr7	6009107	6022246	13141	ENSG00000122512	PMS2	ENSG00000086232	EIF2AK1	0.0751883418309106	0.0322654288105928	non_td	NA	NA
chr7	6059176	6104883	45709	ENSG00000086232	EIF2AK1	ENSG00000106346	USP42	-0.0548323524907561	0.0078540331225798	non_td	NA	NA
chr7	6161565	6161775	212	ENSG00000106346	USP42	ENSG00000008256	CYTH3	-0.290457547169811	0.0518867924528302	non_td	NA	NA
chr7	6272645	6329410	56767	ENSG00000008256	CYTH3	ENSG00000178397	FAM220A	-0.0423361107685803	0.0197297725791393	non_td	NA	NA
chr7	6348982	6374526	25546	ENSG00000178397	FAM220A	ENSG00000136238	RAC1	-0.085454630861977	0.00861191575980584	non_td	NA	NA
chr7	6403968	6409125	5159	ENSG00000136238	RAC1	ENSG00000164535	DAGLB	-0.242532273696452	0.00387672029463074	non_td	NA	NA
chr7	6484191	6497461	13272	ENSG00000164535	DAGLB	ENSG00000215045	GRID2IP	-0.0177909132007237	0.0110006027727547	td_bs	ENSG00000215045	GRID2IP
chr7	6551437	6577433	25998	ENSG00000215045	GRID2IP	ENSG00000136247	ZDHHC4	-0.00793122547888266	0.0139626125086545	td_bs	ENSG00000215045	GRID2IP
chr7	6589375	6590020	647	ENSG00000136247	ZDHHC4	ENSG00000146576	C7orf26	0.0619598145285936	0.0618238021638331	non_td	NA	NA
chr7	6608727	6615609	6884	ENSG00000146576	C7orf26	ENSG00000236609	ZNF853	0.0378784137129575	0.0158338175479372	non_td	NA	NA
chr7	6624291	6637317	13028	ENSG00000236609	ZNF853	ENSG00000205903	ZNF316	-0.0819482652747928	0.00813632176849862	non_td	NA	NA
chr7	6658280	6688432	30154	ENSG00000205903	ZNF316	ENSG00000164631	ZNF12	-0.0176620680506732	0.00958413477482258	non_td	NA	NA
chr7	6706948	6754108	47162	ENSG00000164631	ZNF12	ENSG00000169402	RSPH10B2	0.00181996098553829	0.0244052415079937	non_td	NA	NA
chr7	6799366	7156933	357569	ENSG00000169402	RSPH10B2	ENSG00000106392	C1GALT1	0.0106742838445206	0.0203261468415886	non_td	NA	NA
chr7	7248617	7356202	107587	ENSG00000106392	C1GALT1	ENSG00000215018	COL28A1	0.113959744207042	0.0134960543560096	non_td	NA	NA
chr7	7535874	7566874	31002	ENSG00000215018	COL28A1	ENSG00000164654	MIOS	0.135989484549381	0.0123862976582156	non_td	NA	NA
chr7	7608933	7640710	31779	ENSG00000164654	MIOS	ENSG00000219545	UMAD1	0.310226627647191	0.043047295383744	non_td	NA	NA
chr7	7968021	7968795	776	ENSG00000219545	UMAD1	ENSG00000106415	GLCCI1	0.990461340206186	0.176546391752577	non_td	NA	NA
chr7	8094273	8113183	18912	ENSG00000106415	GLCCI1	ENSG00000003147	ICA1	0.0607310173434857	0.0220494923857868	non_td	NA	NA
chr7	8262688	8433608	170922	ENSG00000003147	ICA1	ENSG00000122584	NXPH1	0.229766337861676	0.0365956401165444	non_td	NA	NA
chr7	8752962	10931942	2178982	ENSG00000122584	NXPH1	ENSG00000189043	NDUFA4	0.107404773880669	0.0256413315942949	non_td	NA	NA
chr7	10940154	10973335	33183	ENSG00000189043	NDUFA4	ENSG00000106443	PHF14	0.166079197179283	0.0163035289154085	non_td	NA	NA
chr7	11169624	11370364	200742	ENSG00000106443	PHF14	ENSG00000005108	THSD7A	0.164883168445038	0.0329726713891463	non_td	NA	NA
chr7	11832199	12211269	379072	ENSG00000005108	THSD7A	ENSG00000106460	TMEM106B	0.0900547283893093	0.0194554068884011	non_td	NA	NA
chr7	12243368	12330884	87518	ENSG00000106460	TMEM106B	ENSG00000146530	VWDE	0.0966003107932034	0.0128087936195983	non_td	NA	NA
chr7	12403942	12469620	65680	ENSG00000146530	VWDE	ENSG00000226690	NA	-0.00155971376370296	0.0057095006090134	non_td	NA	NA
chr7	12542223	12570576	28355	ENSG00000226690	NA	ENSG00000006747	SCIN	0.0514694410156942	0.0124140363251631	non_td	NA	NA
chr7	12660183	12686855	26674	ENSG00000006747	SCIN	ENSG00000122644	ARL4A	0.106454525005624	0.016870360650821	non_td	NA	NA
chr7	12690959	13891228	1200271	ENSG00000122644	ARL4A	ENSG00000006468	ETV1	0.104747089615555	0.026823109114525	td_neighbour	ENSG00000006468	ETV1
chr7	13991426	14145048	153624	ENSG00000006468	ETV1	ENSG00000136267	DGKB	0.107812281935117	0.0298846534395667	td_bs	ENSG00000006468	ETV1
chr7	14974778	15200316	225540	ENSG00000136267	DGKB	ENSG00000187546	AGMO	0.00990449587656214	0.0161124412521061	non_td	NA	NA
chr7	15562016	15611211	49197	ENSG00000187546	AGMO	ENSG00000106511	MEOX2	0.0149549159501594	0.0184970628290343	td_neighbour	ENSG00000106511	MEOX2
chr7	15686684	16087524	400842	ENSG00000106511	MEOX2	ENSG00000214960	CRPPA	0.267428295937036	0.0531381442064454	td_bs	ENSG00000106511	MEOX2
chr7	16502505	16526824	24321	ENSG00000214960	CRPPA	ENSG00000205858	LRRC72	0.217239710538218	0.040993380206406	non_td	NA	NA
chr7	16581569	16599778	18211	ENSG00000205858	LRRC72	ENSG00000106524	ANKMY2	0.867466695952991	0.139366317061117	non_td	NA	NA
chr7	16645818	16646130	314	ENSG00000106524	ANKMY2	ENSG00000136261	BZW2	-0.208152866242038	0.127388535031847	non_td	NA	NA
chr7	16706524	16753754	47232	ENSG00000136261	BZW2	ENSG00000106537	TSPAN13	0.0541739286924118	0.0118351964769648	non_td	NA	NA
chr7	16784537	16791810	7275	ENSG00000106537	TSPAN13	ENSG00000106541	AGR2	0.0648828865979382	0.0180068728522337	non_td	NA	NA
chr7	16833434	16859411	25979	ENSG00000106541	AGR2	ENSG00000173467	AGR3	0.0657854420878367	0.0156280072366142	non_td	NA	NA
chr7	16881988	16916358	34372	ENSG00000173467	AGR3	ENSG00000106546	AHR	0.0465268823460952	0.00514954032351914	non_td	NA	NA
chr7	17346153	17790760	444609	ENSG00000106546	AHR	ENSG00000071189	SNX13	0.0922978459725119	0.018850270687278	non_td	NA	NA
chr7	17940502	17940502	2	ENSG00000071189	SNX13	ENSG00000279048	NA	4.2665	0.5	non_td	NA	NA
chr7	17942923	18000289	57368	ENSG00000279048	NA	ENSG00000280340	NA	0.310566918839756	0.0446416120485288	non_td	NA	NA
chr7	18000880	18026769	25891	ENSG00000280340	NA	ENSG00000229937	PRPS1L1	0.259597195936827	0.0382372252906415	non_td	NA	NA
chr7	18027847	18086948	59103	ENSG00000229937	PRPS1L1	ENSG00000048052	HDAC9	0.333217383212324	0.0476456355853341	td_neighbour	ENSG00000048052	HDAC9
chr7	19002417	19020990	18575	ENSG00000048052	HDAC9	ENSG00000122691	TWIST1	0.261204414535663	0.0335935397039031	td_bs	ENSG00000048052	HDAC9
chr7	19117637	19144781	27146	ENSG00000122691	TWIST1	ENSG00000146618	FERD3L	0.377123075222869	0.0706549767921609	td_bs	ENSG00000146618	FERD3L
chr7	19145422	19695460	550040	ENSG00000146618	FERD3L	ENSG00000105849	POLR1F	0.202763966256805	0.0375154534215693	td_bs	ENSG00000146618	FERD3L
chr7	19709038	19719314	10278	ENSG00000105849	POLR1F	ENSG00000173452	TMEM196	0.0254580657715508	0.0237400272426542	non_td	NA	NA
chr7	19773618	20134654	361038	ENSG00000173452	TMEM196	ENSG00000183742	MACC1	0.0731144505564481	0.0150648962159108	non_td	NA	NA
chr7	20217405	20330701	113298	ENSG00000183742	MACC1	ENSG00000105855	ITGB8	0.212509117548414	0.0336634362477714	non_td	NA	NA
chr7	20415755	20615206	199453	ENSG00000105855	ITGB8	ENSG00000004846	ABCB5	0.216297353261126	0.0291396970714905	non_td	NA	NA
chr7	20777039	20782278	5241	ENSG00000004846	ABCB5	ENSG00000164651	SP8	1.0010398778859	0.199198626216371	non_td	NA	NA
chr7	20786887	21428042	641157	ENSG00000164651	SP8	ENSG00000105866	SP4	0.385057600556471	0.0640732301136851	td_neighbour	ENSG00000105866	SP4
chr7	21514823	21543038	28217	ENSG00000105866	SP4	ENSG00000105877	DNAH11	0.129412056561651	0.0146720062373746	td_bs	ENSG00000105866	SP4
chr7	21901840	22118235	216397	ENSG00000105877	DNAH11	ENSG00000136237	RAPGEF5	0.0475790791924121	0.0263959297032768	non_td	NA	NA
chr7	22357155	22419443	62290	ENSG00000136237	RAPGEF5	ENSG00000105889	STEAP1B	0.196650377267617	0.0366029860330711	non_td	NA	NA
chr7	22727614	22812627	85015	ENSG00000105889	STEAP1B	ENSG00000196683	TOMM7	0.163188496147769	0.013515262012586	non_td	NA	NA
chr7	22822853	22889370	66519	ENSG00000196683	TOMM7	ENSG00000122591	FAM126A	0.103782347900599	0.0205204528029586	td_neighbour	ENSG00000122591	FAM126A
chr7	23014131	23105757	91628	ENSG00000122591	FAM126A	ENSG00000122550	KLHL7	0.174726077181661	0.0185860217400795	td_bs	ENSG00000122591	FAM126A
chr7	23177915	23181840	3927	ENSG00000122550	KLHL7	ENSG00000136243	NUP42	0.193762414056532	0.0183346065699007	non_td	NA	NA
chr7	23201012	23235966	34956	ENSG00000136243	NUP42	ENSG00000136235	GPNMB	0.11477849296258	0.0151333104474196	non_td	NA	NA
chr7	23275109	23310208	35101	ENSG00000136235	GPNMB	ENSG00000136231	IGF2BP3	0.074242728127403	0.0197145380473491	non_td	NA	NA
